mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
171312,1709546400000,12394,BetBoom,13,11419,ECSTATIC,3,BetBoom,Overpass,7709,RES Regional Series 1 Europe
171308,1709546400000,12394,BetBoom,13,11419,ECSTATIC,4,BetBoom,Vertigo,7709,RES Regional Series 1 Europe
171305,1709546400000,12394,BetBoom,11,11419,ECSTATIC,13,ECSTATIC,Anubis,7709,RES Regional Series 1 Europe
171301,1709500800000,12468,Legacy,13,9215,MIBR,7,Legacy,Vertigo,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171297,1709500800000,12468,Legacy,13,9215,MIBR,7,Legacy,Anubis,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171300,1709495100000,8297,FURIA,13,5005,Complexity,7,FURIA,Nuke,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171295,1709495100000,5005,Complexity,16,8297,FURIA,13,Complexity,Vertigo,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171287,1709495100000,8297,FURIA,13,5005,Complexity,10,FURIA,Overpass,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171298,1709494200000,12334,Preasy,13,11419,ECSTATIC,8,Preasy,Ancient,7652,IEM Dallas 2024 Europe Open Qualifier 1
171292,1709494200000,12334,Preasy,13,11419,ECSTATIC,5,Preasy,Overpass,7652,IEM Dallas 2024 Europe Open Qualifier 1
171283,1709494200000,11419,ECSTATIC,19,12334,Preasy,15,ECSTATIC,Nuke,7652,IEM Dallas 2024 Europe Open Qualifier 1
171272,1709489700000,12334,Preasy,13,12394,BetBoom,7,Preasy,Ancient,7652,IEM Dallas 2024 Europe Open Qualifier 1
171275,1709489400000,4991,fnatic,14,11419,ECSTATIC,16,ECSTATIC,Anubis,7652,IEM Dallas 2024 Europe Open Qualifier 1
171279,1709488500000,9455,Imperial,13,4773,paiN,4,Imperial,Nuke,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
