mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
170271,1707667200000,6667,FaZe,11,7020,Spirit,13,Spirit,Mirage,7435,IEM Katowice 2024
170269,1707667200000,7020,Spirit,13,6667,FaZe,9,Spirit,Nuke,7435,IEM Katowice 2024
170249,1707589800000,11283,Falcons,3,7020,Spirit,13,Spirit,Ancient,7435,IEM Katowice 2024
170248,1707589800000,11283,Falcons,8,7020,Spirit,13,Spirit,Anubis,7435,IEM Katowice 2024
170238,1707578100000,6667,FaZe,13,4494,MOUZ,11,FaZe,Ancient,7435,IEM Katowice 2024
170234,1707578100000,4494,MOUZ,3,6667,FaZe,13,FaZe,Nuke,7435,IEM Katowice 2024
170219,1707503400000,4869,ENCE,11,11283,Falcons,13,Falcons,Nuke,7435,IEM Katowice 2024
170218,1707503400000,11283,Falcons,9,4869,ENCE,13,ENCE,Overpass,7435,IEM Katowice 2024
170213,1707503400000,4869,ENCE,5,11283,Falcons,13,Falcons,Mirage,7435,IEM Katowice 2024
170212,1707499800000,4914,3DMAX,13,4991,fnatic,9,3DMAX,Vertigo,7682,RES Western European Masters Spring 2024 - BLAST Premier Qualifier
170210,1707491700000,5995,G2,6,6667,FaZe,13,FaZe,Ancient,7435,IEM Katowice 2024
170206,1707491700000,5995,G2,9,6667,FaZe,13,FaZe,Inferno,7435,IEM Katowice 2024
170200,1707469200000,11419,ECSTATIC,11,12334,Preasy,13,Preasy,Nuke,7640,European Pro League Season 13
170198,1707469200000,12334,Preasy,13,11419,ECSTATIC,11,Preasy,Inferno,7640,European Pro League Season 13
170197,1707469200000,11419,ECSTATIC,13,12334,Preasy,10,ECSTATIC,Ancient,7640,European Pro League Season 13
170194,1707469200000,12334,Preasy,13,11419,ECSTATIC,11,Preasy,Overpass,7640,European Pro League Season 13
170193,1707469200000,11419,ECSTATIC,13,12334,Preasy,6,ECSTATIC,Vertigo,7640,European Pro League Season 13
